行の説明	N	駅名	発	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188
境平1	76	境平	発																																																																																																																													ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ			7:03	7:39	8:09	9:10	10:15	11:12	12:15	13:15	14:12	15:03	16:06	ﾚ	17:03	ﾚ	18:03	ﾚ	19:12	20:12	21:13	22:17	23:17																		
鳴谷0	75	鳴谷	着																																																																																																																													6:55	ﾚ	7:55	ﾚ	8:55	ﾚ	9:50	ﾚ	11:46	ﾚ	13:50	14:46	ﾚ	15:55	ﾚ	16:55	ﾚ	17:55	ﾚ	ﾚ	19:50	20:50	21:50			7:12	7:48	8:18	9:19	10:24	11:21	12:24	13:24	14:21	15:12	16:15	16:42	17:12	17:44	18:12	18:42	19:21	20:21	21:22	22:26	23:26																		
鳴谷1	75	鳴谷	発																																																																																																																													6:56	ﾚ	7:56	ﾚ	8:56	ﾚ	9:51	ﾚ	11:47	ﾚ	13:51	14:47	ﾚ	15:56	ﾚ	16:56	ﾚ	17:56	ﾚ	ﾚ	19:51	20:51	21:51	6:21	6:49	7:13	7:49	8:19	9:20	10:25	11:22	12:25	13:25	14:22	15:13	16:16	16:43	17:13	17:45	18:13	18:43	19:22	20:22	21:23	22:27	23:27																		
湯加土1	74	湯加土	発																																																																																																																													ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	11:58	ﾚ	ﾚ	14:58	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	6:32	7:00	7:24	8:00	8:33	9:36	10:36	11:33	12:36	13:36	14:33	15:24	16:27	16:54	17:24	17:56	18:24	18:54	19:33	20:33	21:34	22:38	23:38							10:04			13:04			15:57					
新蛍山1	73	新蛍山	発																																																																																																																													ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	6:42	ﾚ	7:34	ﾚ	8:43	ﾚ	ﾚ	11:43	ﾚ	ﾚ	14:43	15:34	ﾚ	ﾚ	17:34	ﾚ	18:34	ﾚ	19:43	20:43	21:44	22:48	23:48							10:14			13:14			16:07					
茂山0	72	茂山	着																																																																																																																													7:19	7:46	8:19	8:46	9:19	9:46	10:14	11:14	12:14	13:14	14:14	15:14	15:46	16:19	16:46	17:19	17:46	18:19	18:46	19:19	20:14	21:14	22:14	6:51	7:16	7:43	8:16	8:52	9:52	10:52	11:52	12:52	13:52	14:52	15:43	16:43	17:10	17:43	18:12	18:43	19:10	19:52	20:52	21:53	22:57	23:57							10:23			13:23			16:16					
茂山1	72	茂山	発																																																																																																																													7:21	7:48	8:21	8:48	9:21	9:48	10:16	11:16	12:16	13:16	14:16	15:16	15:48	16:21	16:48	17:21	17:48	18:21	18:48	19:21	20:16	21:16	22:16	6:53	7:24	7:53	8:24	8:54	9:54	10:54	11:54	12:54	13:54	14:54	15:53	16:53	17:12	17:53	18:14	18:53	19:12	19:54	20:54	21:55	22:59			6:00	6:29	7:29	8:29	9:25	10:25	11:25	12:25	13:25	14:25	15:26	16:24	17:24	18:24	19:25	20:20	21:30
松台1	71	松台	発																																																																																																																													ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	7:01	ﾚ	8:01	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	16:01	17:01	ﾚ	18:01	ﾚ	19:01	ﾚ	ﾚ	ﾚ	ﾚ	23:07			6:08	6:37	7:37	8:37	9:33	10:33	11:33	12:33	13:33	14:33	15:34	16:32	17:32	18:32	19:33	20:28	21:38
池ノ台1	70	池ノ台	発																																																																																																																													ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	7:10	7:37	8:10	ﾚ	9:07	ﾚ	11:07	ﾚ	13:07	ﾚ	15:07	16:10	17:10	ﾚ	18:10	18:27	19:10	ﾚ	ﾚ	ﾚ	22:08	23:16			6:17	6:46	7:46	8:46	9:42	10:42	11:42	12:42	13:42	14:42	15:43	16:41	17:41	18:41	19:42	20:37	21:47
鏡高原1	69	鏡高原	発																																																																																																																													ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	7:20	ﾚ	8:20	8:43	ﾚ	10:13	ﾚ	12:13	ﾚ	14:13	ﾚ	16:20	17:20	ﾚ	18:20	18:40	19:20	ﾚ	20:13	21:13	22:18	23:26			6:27	6:56	7:56	8:56	9:52	10:52	11:52	12:52	13:52	14:52	15:53	16:51	17:51	18:51	19:52	20:47	21:57
市見台1	68	市見台	発																																																																																																																													ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	7:29	ﾚ	8:29	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	16:29	17:29	ﾚ	18:29	ﾚ	19:29	ﾚ	ﾚ	ﾚ	ﾚ	23:35			6:36	7:05	8:05	9:05	10:01	11:01	12:01	13:01	14:01	15:01	16:02	17:00	18:00	19:00	20:01	20:56	22:06
橋掛上0	44	橋掛	着																																																																																																																													ﾚ	8:19	ﾚ	9:19	ﾚ	10:19	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	16:19	ﾚ	17:19	ﾚ	18:19	ﾚ	19:19	ﾚ	ﾚ	ﾚ	ﾚ	7:39	7:59	8:39	8:59	9:29	10:29	11:29	12:29	13:29	14:29	15:29	16:39	17:39	17:43	18:39	18:56	19:39	19:43	20:29	21:29	22:34	23:45			6:46	7:15	8:15	9:15	10:11	11:11	12:11	13:11	14:11	15:11	16:12	17:10	18:10	19:10	20:11	21:06	22:16
種別61														ささ	みや		ささ	みや		ささ	みや		みや		ささ		みや			ささ		みや			みや			ささ	みや				みや		ささ	みや		ささ	みや	ささ		ささ	みや	ささ	ささ	ささ	ささ																																																																																																																																						
種別62														ささ						ささ																		ささ							ささ										ささ																																																																																																																																								
両数60														10	7		10	7		10	7		7		10		7			10		7			7			10	7				7		10	7		10	7	10		10	7	10	10	10	10																																																																																																																																						
始発60														鶴原	鶴原		鶴原	鶴原		鶴原	鶴原		鶴原		鶴原		鶴原			鶴原		鶴原			鶴原			鶴原	鶴原				鶴原		鶴原	鶴原		鶴原	鶴原	鶴原		鶴原	鶴原	鶴原	鶴原	鶴原	鶴原																																																																																																																																						
終着61														扇崎	明島		扇崎	明島		扇崎	明島		明島		扇崎		明島			扇崎		明島			明島			扇崎	明島				明島		扇崎	明島		扇崎	明島	扇崎		扇崎	明島	扇崎	扇崎	扇崎	扇崎																																																																																																																																						
終着62														船尻						船尻																		船尻							船尻										船尻																																																																																																																																								
鶴原1	90	鶴原	発											6:11	6:44		7:11	7:32		8:11	8:49		9:33		10:00		11:03			11:40		12:41			13:42			14:16	14:49				15:49		16:11	16:44		17:06	17:56	18:02		18:54	19:42	19:56	20:40	21:40	22:40																																																																																																																																						
橋田平1	89	橋田平	発											6:20	ﾚ		7:20	ﾚ		8:20	ﾚ		9:42		10:09		ﾚ			11:49		12:50			ﾚ			14:25	ﾚ				ﾚ		16:20	ﾚ		17:15	ﾚ	18:11		19:03	ﾚ	20:05	20:49	21:49	22:49																																																																																																																																						
笹森1	88	笹森	発											6:31	7:01		7:31	7:49		8:31	ﾚ		9:53		10:20		11:20			12:00		13:01			ﾚ			14:36	15:06				16:06		16:31	17:01		17:26	18:13	18:22		19:14	19:59	20:16	21:00	22:00	23:00																																																																																																																																						
舞津1	87	舞津	発											6:44	ﾚ		ﾚ	ﾚ		8:44	ﾚ		ﾚ		10:33		ﾚ			12:13		ﾚ			ﾚ			14:49	ﾚ				ﾚ		16:44	ﾚ		ﾚ	ﾚ	18:35		19:27	ﾚ	ﾚ	21:13	ﾚ	ﾚ																																																																																																																																						
巻場沢1	86	巻場沢	発											6:59	ﾚ		ﾚ	ﾚ		8:59	ﾚ		ﾚ		10:48		ﾚ			12:28		ﾚ			ﾚ			15:04	ﾚ				ﾚ		16:59	ﾚ		ﾚ	ﾚ	18:50		19:42	ﾚ	ﾚ	21:28	ﾚ	ﾚ																																																																																																																																						
池条上0	85	池条	着											7:09	7:34		8:02	8:22		9:09	9:34		10:26		10:58		11:53			12:38		13:34			14:27			15:14	15:39				16:39		17:09	17:34		17:57	18:46	19:00		19:52	20:32	20:47	21:38	22:31	23:31																																																																																																																																						
種別50														ささ	みや		ささ	みや		ささ	みや		みや		ささ		みや			ささ		みや			みや			ささ	みや				みや		ささ	みや		ささ	みや	ささ		ささ	みや	ささ	ささ	ささ	ささ																																																																																																																																						
両数50														4	3		10	3		4	3		3		10		3			10		3			3			4	3				3		4	3		10	3	10		10	3	10	4	10	10																																																																																																																																						
始発50														鶴原	扇崎		鶴原	扇崎		鶴原	扇崎		扇崎		鶴原		扇崎			鶴原		扇崎			扇崎			鶴原	扇崎				扇崎		鶴原	扇崎		鶴原	扇崎	鶴原		鶴原	扇崎	鶴原	鶴原	鶴原	鶴原																																																																																																																																						
終着50														扇崎	明島		扇崎	明島		扇崎	明島		明島		扇崎		明島			扇崎		明島			明島			扇崎	明島				明島		扇崎	明島		扇崎	明島	扇崎		扇崎	岩口	扇崎	扇崎	扇崎	扇崎																																																																																																																																						
池条上1	85	池条	発											7:12	||		8:03	||		9:12	||		||		10:59		||			12:39		||			||			15:17	||				||		17:12	||		17:58	||	19:01		19:53	||	20:48	21:41	22:32	23:32																																																																																																																																						
扇崎0	91	扇崎	着											7:29	||		8:20	||		9:29	||		||		11:16		||			12:56		||			||			15:34	||				||		17:29	||		18:15	||	19:18		20:10	||	21:05	21:58	22:49	23:49																																																																																																																																						
扇崎1	91	扇崎	発											||	7:13		=	8:01		||	9:13		10:00		=		11:32			=		13:13			14:03			||	15:18				16:18		||	17:13		=	18:25	=		=	20:11	=	||	=	=																																																																																																																																						
池条下0	85	池条	着											||	7:30			8:18		||	9:30		10:17				11:49					13:30			14:20			||	15:35				16:35		||	17:30			18:42				20:28		||																																																																																																																																								
種別41									つば			つば		ささ	みや			みや		ささ	みや		みや				みや		つば			みや			みや			ささ	みや			つば	みや		ささ	みや			みや		つば		みや		ささ																																																																																																																																								
種別42															みや			みや			みや		みや				みや					みや			みや				みや				みや			みや			みや				みや																																																																																																																																										
両数40									6			6		6	11			11		6	11		11				11		6			11			11			6	11			6	11		6	11			11		6		11		6																																																																																																																																								
始発41									布坂			布坂		鶴原	鶴原			鶴原		鶴原	鶴原		鶴原				鶴原		布坂			鶴原			鶴原			鶴原	鶴原			布坂	鶴原		鶴原	鶴原			鶴原		布坂		鶴原		鶴原																																																																																																																																								
始発42															扇崎			扇崎			扇崎		扇崎				扇崎					扇崎			扇崎				扇崎				扇崎			扇崎			扇崎				扇崎																																																																																																																																										
終着40									明島			明島		船尻	明島			明島		船尻	明島		明島				明島		明島			明島			明島			船尻	明島			明島	明島		船尻	明島			明島		明島		岩口		船尻																																																																																																																																								
池条下1	85	池条	発											7:15	7:36			8:24		9:15	9:36		10:28				11:55					13:36			14:29			15:20	15:41				16:41		17:15	17:36			18:48				20:34		21:44																																																																																																																																								
本原海底1	84	本原海底	発											7:27	ﾚ			ﾚ		9:27	ﾚ		ﾚ				ﾚ					ﾚ			ﾚ			15:32	ﾚ				ﾚ		17:27	ﾚ			ﾚ				ﾚ		21:56																																																																																																																																								
布坂0	83	布坂	着											8:07	8:25			9:13		10:07	10:25		11:17				12:44					14:25			15:18			16:12	16:30				17:30		18:07	18:25			19:37				21:23		22:36																																																																																																																																								
布坂1	83	布坂	発						6:12			7:10		8:08	8:26			9:14		10:08	10:26		11:18				12:45		13:33			14:26			15:19			16:13	16:31			17:16	17:31		18:08	18:26			19:38		20:12		21:24		22:37																																																																																																																																								
取沢1	62	取沢	発						6:27			7:25		8:23	ﾚ			9:29		10:23	ﾚ		11:33				13:00		13:48			14:41			15:34			16:28	ﾚ			17:31	ﾚ		18:23	ﾚ			19:53		20:27		21:39		22:52																																																																																																																																								
村崎湖1	61	村崎湖	発						6:39			ﾚ		8:35	ﾚ			ﾚ		10:35	ﾚ		ﾚ				ﾚ		14:00			ﾚ			ﾚ			16:40	ﾚ			ﾚ	ﾚ		18:35	ﾚ			ﾚ		20:39		ﾚ		23:04																																																																																																																																								
沼内1	60	沼内	発						6:52			7:47		8:48	ﾚ			9:51		10:48	ﾚ		11:55				13:22		14:13			ﾚ			15:56			16:53	ﾚ			17:53	ﾚ		18:48	ﾚ			20:15		20:52		22:01		23:17																																																																																																																																								
海釜1	59	海釜	発						7:04			7:59		9:00	ﾚ			10:03		11:00	ﾚ		ﾚ				13:34		14:25			ﾚ			16:08			17:05	ﾚ			18:05	ﾚ		19:00	ﾚ			ﾚ		21:04		22:13		23:29																																																																																																																																								
船尻0	58	船尻	着						7:15			8:10		9:11	9:16			10:16		11:11	11:16		12:16				13:47		14:36			15:21			16:21			17:16	17:21			18:16	18:21		19:11	19:16			20:36		21:15		22:26		23:40																																																																																																																																								
種別31				みや	みや	みや	みや	みや	みや	みや	みや	みや	みや		みや	みや		みや	みや		みや	みや	みや	みや		みや	みや	みや	みや		みや	みや	みや	みや	みや	みや	みや		みや	みや	みや		みや	みや		みや	みや		みや		みや		みや							わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか	わか																																																																																														
種別32									つば			つば			みや			みや			みや		みや				みや		つば			みや			みや				みや				みや			みや			みや		つば		みや																																																																																																																																										
種別33															みや			みや			みや		みや				みや					みや			みや				みや				つば			みや			みや				みや																																																																																																																																										
両数30				17	17	17	17	17	17	17	17	17	17		17	17		17	17		17	17	17	17		17	17	17	17		17	17	17	17	17	17	17		17	17	17		17	17		17	17		17		17		17							16	16	10	16	16	10	10	10	16	10	16	10	16	10	16	10	16	10	16	10	16	16	16	10	16	16	10	16	16	10	16	10	16	10	16	10	16	16																																																																																														
始発31				宝川	船尻	宝川	船尻	宝川	船尻	船尻	宝川	船尻	船尻		鶴原	船尻		鶴原	船尻		鶴原	船尻	鶴原	船尻		船尻	鶴原	船尻	船尻		宝川	鶴原	船尻	宝川	鶴原	船尻	宝川		鶴原	船尻	宝川		鶴原	船尻		鶴原	船尻		鶴原		船尻		鶴原							宝川	宝川	船尻	宝川	船尻	宝川	船尻	船尻	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	宝川	船尻	宝川	宝川	船尻	宝川	宝川	船尻	宝川	宝川	宝川	宝川	宝川	船尻																																																																																														
始発32									布坂			布坂			扇崎			扇崎			扇崎		扇崎				扇崎		布坂			扇崎			扇崎				扇崎				扇崎			扇崎			扇崎		布坂		扇崎																																																																																																																																										
始発33															船尻			船尻			船尻		船尻				船尻					船尻			船尻				船尻				布坂			船尻			船尻				船尻																																																																																																																																										
終着30				明島	明島	明島	明島	明島	明島	明島	明島	明島	明島		明島	明島		明島	明島		明島	明島	明島	明島		明島	明島	明島	明島		明島	明島	明島	明島	明島	明島	明島		明島	明島	明島		明島	明島		明島	明島		明島		明島		岩口							明島	明島	明島	明島	明島	明島	岩口	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島	明島																																																																																														
船尻1	58	船尻	発		6:06		6:51		7:23	7:51		8:18	8:46		9:18	9:49		10:18	10:46		11:18	11:49	12:18	12:46		13:18	13:49	14:18	14:44			15:23	15:51		16:23	16:51			17:23	17:51			18:23	18:53		19:18	19:46		20:38		21:23		22:28									6:23		7:05		7:41	8:09																		16:05			17:05			18:09						21:31																																																																																														
安川1	57	安川	発		ﾚ		ﾚ		ﾚ	ﾚ		ﾚ	8:58		ﾚ	ﾚ		ﾚ	10:58		ﾚ	ﾚ	ﾚ	12:58		ﾚ	ﾚ	ﾚ	14:56			ﾚ	ﾚ		ﾚ	ﾚ			ﾚ	ﾚ			ﾚ	ﾚ		ﾚ	19:58		ﾚ		ﾚ		22:40									6:35		7:17		7:53	8:21																		16:17			17:17			18:21						21:43																																																																																														
清川1	56	清川	発		ﾚ		ﾚ		ﾚ	ﾚ		ﾚ	9:09		ﾚ	10:09		ﾚ	11:09		ﾚ	12:09	ﾚ	13:09		ﾚ	14:09	ﾚ	15:07			ﾚ	ﾚ		ﾚ	ﾚ			ﾚ	ﾚ			ﾚ	ﾚ		ﾚ	20:09		ﾚ		ﾚ		22:51									6:46		7:28		8:04	8:32																		16:28			17:28			18:32						21:54																																																																																														
宝川0	55	宝川	着		6:32		7:17		7:49	8:17		8:44	9:19		9:44	10:19		10:44	11:19		11:44	12:19	12:44	13:19		13:44	14:19	14:44	15:17			15:49	16:17		16:49	17:17			17:49	18:17			18:49	19:19		19:44	20:19		21:04		21:49		23:01									6:56		7:38		8:14	8:42																		16:38			17:38			18:42						22:04																																																																																														
宝川1	55	宝川	発	6:10	6:33	6:50	7:18	7:33	7:50	8:18	8:33	8:45	9:20		9:45	10:20		10:45	11:20		11:45	12:20	12:45	13:20		13:45	14:20	14:45	15:18		15:33	15:50	16:18	16:33	16:50	17:18	17:33		17:50	18:18	18:33		18:50	19:20		19:45	20:20		21:05		21:50		23:02							6:14	6:42	6:57	7:25	7:39	8:03	8:22	8:49	8:55	9:51	9:55	10:49	10:55	11:51	11:55	12:49	12:55	13:51	13:55	14:49	14:55	15:25	15:42	16:03	16:25	16:39	17:03	17:25	17:39	18:03	18:37	18:43	19:06	19:52	19:55	21:09	21:25	22:05																																																																																														
長山東1	54	長山東	発	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ		ﾚ		ﾚ		23:11							6:23	ﾚ	7:06	ﾚ	7:48	8:12	8:31	ﾚ	9:04	ﾚ	10:04	ﾚ	11:04	ﾚ	12:04	ﾚ	13:04	ﾚ	14:04	ﾚ	15:04	ﾚ	ﾚ	16:12	ﾚ	16:48	17:12	ﾚ	17:48	18:12	ﾚ	18:52	ﾚ	ﾚ	20:04	ﾚ	21:34	22:14																																																																																														
