行の説明	N	駅名	発	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189
中広野1	2	中広野	発								6:10		6:40	7:00	7:10	7:40		8:00	8:10	8:40	9:00	9:10	9:40	10:10	10:40		11:10	11:40	12:10		12:40	13:10		13:40	14:10	14:40		15:10		15:40	16:10		16:40		17:00	17:10	17:40		18:00	18:10	18:40	19:00	19:10	19:40	20:10	20:40	21:15	22:10			6:15	6:50	7:20	7:30	7:50	8:20	8:30	8:50	9:20	9:45	10:20	10:50	11:20	11:50	12:20	12:50	13:20	13:50	14:20	14:50	15:20	15:50	16:20	16:30	16:50	17:20	17:30	17:50	18:20	18:30	18:50	19:20	19:50	20:20	20:50	21:20	21:40	22:20				6:27		7:25		8:25	9:25	10:25	11:25	12:25	13:25		14:25		15:25		16:25		17:25		18:25	19:25	20:25	21:10	21:50	22:30	22:45	23:05	6:35	7:05	7:35	8:05	8:35	9:05	9:35	10:30	11:30	12:30	13:30	14:30	15:30	16:35	17:05	17:35	18:05	18:35	19:05	19:35	20:05	20:55	21:35						6:45	7:45	8:45	9:50	10:45	11:45	12:45	13:45	14:45		15:45	16:15	16:45	17:15	17:45	18:45	19:45	20:45	22:05	6:55	7:55	8:55	10:00	11:00	12:00	13:00	14:00	15:00	16:00	16:55	17:55	18:55	19:55	21:05	21:45	22:25
歌宮1	3	歌宮	発								6:24		6:54	7:14	7:24	7:54		8:14	8:24	8:54	9:14	9:24	9:54	10:24	10:54		11:24	11:54	12:24		12:54	13:24		13:54	14:24	14:54		15:24		15:54	16:24		16:54		17:14	17:24	17:54		18:14	18:24	18:54	19:14	19:24	19:54	20:24	20:54	21:29	22:24			6:29	7:04	7:34	7:44	8:04	8:34	8:44	9:04	9:34	9:59	10:34	11:04	11:34	12:04	12:34	13:04	13:34	14:04	14:34	15:04	15:34	16:04	16:34	16:44	17:04	17:34	17:44	18:04	18:34	18:44	19:04	19:34	20:04	20:34	21:04	21:34	21:54	22:34				6:41		7:39		8:39	9:39	10:39	11:39	12:39	13:39		14:39		15:39		16:39		17:39		18:39	19:39	20:39	21:24	22:04	22:44	22:59	23:19	6:49	7:19	7:49	8:19	8:49	9:19	9:49	10:44	11:44	12:44	13:44	14:44	15:44	16:49	17:19	17:49	18:19	18:49	19:19	19:49	20:19	21:09	21:49						6:59	7:59	8:59	10:04	10:59	11:59	12:59	13:59	14:59		15:59	16:29	16:59	17:29	17:59	18:59	19:59	20:59	22:19	7:09	8:09	9:09	10:14	11:14	12:14	13:14	14:14	15:14	16:14	17:09	18:09	19:09	20:09	21:19	21:59	22:39
田野1	41	田野	発								ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ			ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ				6:53		7:54		8:54	9:51	10:54	11:54	12:54	13:54		14:54		15:54		16:54		17:54		18:54	19:54	20:51	21:39	22:16	22:56	23:11	23:31	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ						ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	7:24	8:24	9:24	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	16:26	17:24	18:24	19:24	20:24	ﾚ	ﾚ	ﾚ
徳野1	42	徳野	発								ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ			ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ				7:05		8:05		9:05	10:00	11:03	12:03	13:03	14:03		15:03		16:03		17:05		18:05		19:05	20:05	21:00	21:51	22:25	23:05	23:20	23:40	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ						ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	7:35	8:35	9:35	10:31	11:31	12:31	13:31	14:31	15:31	16:35	17:35	18:35	19:35	20:35	21:36	22:16	22:56
水方広原1	43	水方広原	発								ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ			ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ				7:17		8:17		9:17	10:12	11:16	12:16	13:16	14:16		15:16		16:16		17:17		18:17		19:17	20:17	21:10	22:01	22:35	23:15	23:30	23:50	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ						ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	7:48	8:48	9:48	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	16:48	17:48	18:48	19:48	20:48	ﾚ	ﾚ	ﾚ
橋掛0	44	橋掛	着								ﾚ		ﾚ	ﾚ	7:53	ﾚ		ﾚ	8:53	ﾚ	ﾚ	9:53	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	17:53	ﾚ		ﾚ	18:53	ﾚ	ﾚ	19:53	ﾚ	20:53	ﾚ	ﾚ	ﾚ			6:58	7:33	8:03	8:13	8:33	9:03	9:13	9:33	10:03	10:28	11:03	11:33	12:03	12:33	13:03	13:33	14:03	14:33	15:03	15:33	16:03	16:33	17:03	17:13	17:33	18:03	18:13	18:33	19:03	19:13	19:33	20:03	20:33	21:03	21:33	22:03	22:23	23:03				7:26		8:26		9:26	10:21	11:25	12:25	13:25	14:25		15:25		16:25		17:26		18:26		19:26	20:26	21:19	22:10	22:44	23:24	23:39	23:59	ﾚ	7:48	ﾚ	8:48	ﾚ	9:48	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	17:48	ﾚ	18:48	ﾚ	19:48	ﾚ	20:48	ﾚ	ﾚ						7:28	8:28	9:28	10:33	11:28	12:28	13:28	14:28	15:28		16:28	17:00	17:28	18:00	18:28	19:28	20:28	21:28	22:48	7:57	8:57	9:57	10:46	11:46	12:46	13:46	14:46	15:46	16:57	17:57	18:57	19:57	20:57	21:51	22:31	23:11
橋掛上1	44	橋掛	発								ﾚ		ﾚ	ﾚ	7:54	ﾚ		ﾚ	8:54	ﾚ	ﾚ	9:54	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	17:54	ﾚ		ﾚ	18:54	ﾚ	ﾚ	19:54	ﾚ	20:54	ﾚ	ﾚ	ﾚ		6:26	6:59	7:34	8:04	8:14	8:34	9:04	9:14	9:34	10:04	10:29	11:04	11:34	12:04	12:34	13:04	13:34	14:04	14:34	15:04	15:34	16:04	16:34	17:04	17:14	17:34	18:04	18:14	18:34	19:04	19:14	19:34	20:04	20:34	21:04	21:34	22:04	22:24	23:04		6:02		7:27	7:47	8:27	8:47	9:27	10:25	11:27	12:27	13:27	14:27		15:27	15:53	16:27	16:47	17:27	17:47	18:27	18:47	19:27	20:27	21:23	22:11	=	=	=	=																																																																
米戸1	45	米戸	発								ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		6:35	7:08	ﾚ	ﾚ	8:23	ﾚ	ﾚ	9:23	ﾚ	ﾚ	ﾚ	11:13	ﾚ	ﾚ	ﾚ	13:13	ﾚ	ﾚ	ﾚ	15:13	ﾚ	ﾚ	ﾚ	ﾚ	17:23	ﾚ	ﾚ	18:23	ﾚ	ﾚ	19:23	ﾚ	20:13	ﾚ	21:13	ﾚ	ﾚ	ﾚ	23:13		6:11		7:36	7:56	8:36	8:56	9:36	10:38	11:36	12:36	13:36	14:36		15:36	16:02	16:36	16:59	17:36	17:56	18:36	18:56	19:36	20:36	21:32	22:20																																																																				
刈丘1	46	刈丘	発								ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		6:43	7:16	ﾚ	ﾚ	8:34	ﾚ	ﾚ	9:34	ﾚ	10:17	ﾚ	ﾚ	ﾚ	12:17	ﾚ	ﾚ	ﾚ	14:17	ﾚ	ﾚ	ﾚ	16:17	ﾚ	ﾚ	17:34	ﾚ	ﾚ	18:34	ﾚ	ﾚ	19:34	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	22:17	ﾚ	23:21		6:19		7:47	8:07	8:47	9:07	9:47	10:46	11:47	12:47	13:47	14:47		15:47	16:10	16:47	17:07	17:47	18:07	18:47	19:07	19:47	20:47	21:40	22:28																																																																				
稲守1	47	稲守	発								ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		6:51	7:24	ﾚ	8:21	8:42	ﾚ	9:21	9:42	ﾚ	10:25	ﾚ	11:25	ﾚ	12:25	ﾚ	13:25	ﾚ	14:25	ﾚ	15:25	ﾚ	16:25	ﾚ	17:21	17:42	ﾚ	18:21	18:42	ﾚ	19:21	19:42	ﾚ	20:25	ﾚ	21:25	ﾚ	22:25	ﾚ	23:29		6:27		7:58	8:15	8:58	9:15	9:58	10:54	11:55	12:55	13:55	14:55		15:55	16:18	16:55	17:15	17:58	18:15	18:58	19:15	19:58	20:55	21:53	22:36																																																																				
豊石1	48	豊石	発								ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		7:01	7:34	ﾚ	8:31	8:52	ﾚ	9:31	9:52	ﾚ	10:35	10:53	11:35	ﾚ	12:35	12:58	13:35	ﾚ	14:35	14:58	15:35	ﾚ	16:35	16:58	17:31	17:52	ﾚ	18:31	18:52	ﾚ	19:31	19:52	ﾚ	20:35	20:58	21:35	21:58	22:35	22:49	23:39		6:37		8:08	8:25	9:08	9:25	10:08	11:04	12:05	13:05	14:05	15:05		16:05	16:28	17:05	17:25	18:08	18:25	19:08	19:25	20:08	21:05	22:03	22:45																																																																				
永石高原1	49	永石高原	発								ﾚ		ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ		ﾚ	ﾚ	ﾚ		ﾚ		ﾚ	ﾚ		ﾚ		ﾚ	ﾚ	ﾚ		ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ		7:11	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	ﾚ	23:49		6:47		8:18	8:35	9:18	9:35	10:18	11:14	12:15	13:15	14:15	15:15		16:15	16:38	17:15	17:35	18:18	18:35	19:18	19:35	20:18	21:15	22:13	=																																																																				
岩口0	50	岩口	着								7:25		7:55	8:17	8:30	8:55		9:17	9:30	9:55	10:17	10:30	10:57	11:27	11:55		12:27	12:55	13:27		13:55	14:27		14:55	15:27	15:55		16:27		16:55	17:27		17:55		18:17	18:30	18:55		19:17	19:30	19:55	20:17	20:30	20:55	21:30	21:55	22:30	23:25		7:21	7:51	8:12	8:48	9:09	9:12	9:48	10:09	10:12	10:52	11:10	11:52	12:12	12:52	13:15	13:52	14:12	14:52	15:15	15:52	16:12	16:52	17:15	17:48	18:09	18:12	18:48	19:09	19:12	19:48	20:09	20:12	20:52	21:15	21:52	22:15	22:52	23:06	23:59		6:57		8:28	8:45	9:28	9:45	10:28	11:24	12:25	13:25	14:25	15:25		16:25	16:48	17:25	17:45	18:28	18:45	19:28	19:45	20:28	21:25	22:23																																																																					
種別20																																																														たに			たに			たに		たに		たに		たに		たに		たに		たに		たに			たに			たに			たに		たに		たに		たに		のば	のば	のば		のば		のば							のば		のば		のば		のば		のば																																																																								
両数20																																																														6			6			6		6		6		6		6		6		6		6			6			6			6		6		6		6		6	6	6		6		6							6		6		6		6		6																																																																								
始発20																																																														明島			明島			明島		明島		明島		明島		明島		明島		明島		明島			明島			明島			明島		明島		明島		明島		岩口	橋掛	岩口		橋掛		橋掛							岩口		橋掛		橋掛		橋掛		橋掛																																																																								
終着20																																																														谷田			谷田			谷田		谷田		谷田		谷田		谷田		谷田		谷田		谷田			谷田			谷田			谷田		谷田		谷田		谷田		谷田	谷田	谷田		谷田		谷田							谷田		谷田		谷田		谷田		谷田																																																																								
岩口上1	50	岩口	発								||		||	||	||	||		||	||	||	||	||	||	||	||		||	||	||		||	||		||	||	||		||		||	||		||		||	||	||		||	||	||	||	||	||	||	||	||	||		||	||	8:17	||	||	9:17	||	||	10:17	||	11:15	||	12:17	||	13:20	||	14:17	||	15:20	||	16:17	||	17:20	||	||	18:17	||	||	19:18	||	||	20:17	||	21:20	||	22:20	||	23:11		6:03	6:59	7:59		8:52		9:52							15:58		16:58		17:51		18:51		19:51																																																																								
葉藪1	63	葉藪	発								||		||	||	||	||		||	||	||	||	||	||	||	||		||	||	||		||	||		||	||	||		||		||	||		||		||	||	||		||	||	||	||	||	||	||	||	||	||		||	||	ﾚ	||	||	ﾚ	||	||	10:26	||	11:24	||	12:26	||	13:29	||	14:26	||	15:29	||	ﾚ	||	17:29	||	||	18:26	||	||	19:27	||	||	ﾚ	||	21:29	||	22:29	||	23:20		6:12	7:08	8:08		9:01		10:01							16:07		17:07		18:00		19:00		20:00																																																																								
林杉滝1	64	林杉滝	発								||		||	||	||	||		||	||	||	||	||	||	||	||		||	||	||		||	||		||	||	||		||		||	||		||		||	||	||		||	||	||	||	||	||	||	||	||	||		||	||	ﾚ	||	||	ﾚ	||	||	ﾚ	||	ﾚ	||	12:37	||	ﾚ	||	ﾚ	||	ﾚ	||	ﾚ	||	ﾚ	||	||	ﾚ	||	||	ﾚ	||	||	ﾚ	||	21:40	||	ﾚ	||	ﾚ		ﾚ	7:19	8:19		9:12		ﾚ							ﾚ		17:18		ﾚ		19:11		ﾚ																																																																								
広竹1	65	広竹	発								||		||	||	||	||		||	||	||	||	||	||	||	||		||	||	||		||	||		||	||	||		||		||	||		||		||	||	||		||	||	||	||	||	||	||	||	||	||		||	||	8:40	||	||	9:40	||	||	10:43	||	11:41	||	12:47	||	13:46	||	14:43	||	15:46	||	16:40	||	17:46	||	||	18:43	||	||	19:44	||	||	20:40	||	21:50	||	22:46	||	23:37		6:29	7:29	8:29		9:22		10:18							16:24		17:28		18:17		19:21		20:17																																																																								
